Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,64.039998,64.419999,63.969998,64.419999,211000,12.810706
2013-12-30,64.000001,64.349999,63.959999,64.349999,234000,12.796785
2013-12-27,61.700001,62.690001,61.700001,62.690001,203500,12.466674
2013-12-26,60.999999,61.25,60.809999,61.059999,188500,12.142528
2013-12-24,60.749998,60.970001,60.500002,60.970001,559500,12.124631
2013-12-23,60.20,60.72,60.13,60.59,967500,12.049063
2013-12-20,59.790001,60.39,59.790001,60.20,251500,11.971507
2013-12-19,59.949999,60.40,59.679999,60.20,297000,11.971507
2013-12-18,60.539999,61.300001,59.790001,61.199999,299000,12.170369
2013-12-17,60.33,60.33,59.920001,60.149999,236000,11.961564
2013-12-16,60.250001,61.950002,60.00,61.620002,392500,12.253892
2013-12-13,60.380001,60.380001,59.520001,59.749999,449000,11.882019
2013-12-12,60.279999,60.279999,59.679999,59.94,1185500,11.919803
2013-12-11,61.550002,61.550002,60.240002,60.250001,394000,11.98145
2013-12-10,59.879999,60.73,59.879999,60.450001,496000,12.021223
2013-12-09,59.840002,60.180001,59.41,60.050001,490000,11.941678
2013-12-06,59.380002,60.139999,59.380002,60.100002,242500,11.951621
2013-12-05,57.750001,58.000002,57.470002,57.779999,150000,11.49026
2013-12-04,56.97,57.449999,56.570001,57.199998,132000,11.37492
2013-12-03,57.550001,57.750001,56.78,57.140002,265000,11.362989
2013-12-02,58.369999,58.610001,58.000002,58.000002,206500,11.53401
2013-11-29,58.09,58.319998,58.000002,58.049998,177000,11.543953
2013-11-27,56.999998,57.83,56.999998,57.800002,222000,11.494238
2013-11-26,56.609998,56.620002,56.129999,56.58,173500,11.251626
2013-11-25,56.469998,56.71,56.129999,56.129999,284500,11.162138
2013-11-22,54.780002,55.53,54.660001,55.409999,152000,11.018957
2013-11-21,54.520001,54.970002,54.289999,54.970002,130000,10.931458
2013-11-20,53.870001,54.380002,53.800001,53.95,111000,10.728618
2013-11-19,54.520001,54.749999,54.000001,54.34,517500,10.806174
2013-11-18,55.809999,56.240001,55.190001,55.700002,344500,11.076627
2013-11-15,54.419999,56.129999,54.41,55.599999,456000,11.056741
2013-11-14,53.150001,53.390002,52.680001,53.379998,210500,10.615266
2013-11-13,50.40,51.960001,50.40,51.84,360500,10.309019
2013-11-12,52.600002,53.000002,52.350001,52.540002,121000,10.448223
2013-11-11,53.000002,53.189998,52.859998,53.000002,216000,10.539699
2013-11-08,51.78,52.210002,51.700001,52.10,248500,10.360723
2013-11-07,52.849998,53.049998,51.810002,51.810002,169000,10.303053
2013-11-06,53.249998,53.55,53.249998,53.449998,217500,10.629186
2013-11-05,53.429999,53.429999,52.789998,52.919998,365500,10.52379
2013-11-04,53.909998,54.02,53.649998,53.730001,245000,10.684869
2013-11-01,54.260001,54.780002,54.130001,54.499998,252500,10.837992
2013-10-31,54.840002,54.840002,54.359999,54.450002,403500,10.828049
2013-10-30,55.029998,55.180001,54.73,54.850001,1629000,10.907594
2013-10-29,54.21,54.330001,54.169998,54.260001,189000,10.790266
2013-10-28,55.999999,56.110001,55.599999,55.999999,351500,11.136285
2013-10-25,55.209999,55.209999,54.809999,54.970002,140500,10.931458
2013-10-24,54.949999,55.149999,54.850001,54.899998,583500,10.917537
2013-10-23,55.739999,55.739999,55.029998,55.279999,241000,10.993105
2013-10-22,56.900001,57.24,56.830001,56.999998,298500,11.335147
2013-10-21,57.509999,57.989998,57.509999,57.639999,208000,11.46242
2013-10-18,55.669999,55.700002,55.250001,55.66,518500,11.068672
2013-10-17,54.400001,54.549999,54.070001,54.48,273500,10.834015
2013-10-16,54.73,54.990001,54.120002,54.959998,296500,10.929468
2013-10-15,54.549999,54.720001,54.200001,54.390001,173500,10.816118
2013-10-14,53.81,54.990001,53.81,54.499998,119000,10.837992
2013-10-11,53.82,54.580002,53.82,54.489999,412000,10.836003
2013-10-10,53.249998,53.730001,53.200002,53.68,1697500,10.674925
2013-10-09,53.340001,53.340001,52.670002,53.119998,207000,10.563562
2013-10-08,54.590001,54.920001,53.660002,53.660002,275000,10.670948
2013-10-07,53.569999,54.099998,53.569999,54.02,73500,10.742538
2013-10-04,54.159999,54.499998,53.82,54.34,210000,10.806174
2013-10-03,53.899999,54.159999,53.319998,53.699999,165500,10.678902
2013-10-02,53.239999,53.870001,53.239999,53.870001,303500,10.712709
2013-10-01,52.709999,53.03,52.56,52.870002,188000,10.513847
2013-09-30,52.470002,52.649999,52.10,52.540002,249000,10.448223
